GEN,BEZ,EWZ,AdmUnitId,Region_Prefix,Region
Dingolfing-Landau,Landkreis,96683,9279,LK ,LK Dingolfing-Landau
Amberg,Kreisfreie Stadt,42207,9361,SK ,SK Amberg
Regensburg,Kreisfreie Stadt,153094,9362,SK ,SK Regensburg
Weiden i.d. OPf.,Kreisfreie Stadt,42743,9363,SK ,SK Weiden i.d. OPf.
Amberg-Sulzbach,Landkreis,103049,9371,LK ,LK Amberg-Sulzbach
Cham,Landkreis,127998,9372,LK ,LK Cham
Neumarkt i.d. OPf.,Landkreis,134573,9373,LK ,LK Neumarkt i.d. OPf.
Neustadt a.d. Waldnaab,Landkreis,94450,9374,LK ,LK Neustadt a.d. Waldnaab
Regensburg,Landkreis,194070,9375,LK ,LK Regensburg
Schwandorf,Landkreis,147872,9376,LK ,LK Schwandorf
Tirschenreuth,Landkreis,72046,9377,LK ,LK Tirschenreuth
Bamberg,Kreisfreie Stadt,77373,9461,SK ,SK Bamberg
Bayreuth,Kreisfreie Stadt,74783,9462,SK ,SK Bayreuth
Coburg,Kreisfreie Stadt,41072,9463,SK ,SK Coburg
Hof,Kreisfreie Stadt,45825,9464,SK ,SK Hof
Bamberg,Landkreis,147163,9471,LK ,LK Bamberg
Bayreuth,Landkreis,103664,9472,LK ,LK Bayreuth
Coburg,Landkreis,86747,9473,LK ,LK Coburg
Forchheim,Landkreis,116203,9474,LK ,LK Forchheim
Hof,Landkreis,94801,9475,LK ,LK Hof
Kronach,Landkreis,66743,9476,LK ,LK Kronach
Kulmbach,Landkreis,71566,9477,LK ,LK Kulmbach
Lichtenfels,Landkreis,66776,9478,LK ,LK Lichtenfels
Wunsiedel i. Fichtelgebirge,Landkreis,72655,9479,LK ,LK Wunsiedel i. Fichtelgebirge
Ansbach,Kreisfreie Stadt,41798,9561,SK ,SK Ansbach
Erlangen,Kreisfreie Stadt,112528,9562,SK ,SK Erlangen
Fürth,Kreisfreie Stadt,128497,9563,SK ,SK Fürth
Nürnberg,Kreisfreie Stadt,518370,9564,SK ,SK Nürnberg
Schwabach,Kreisfreie Stadt,40981,9565,SK ,SK Schwabach
Ansbach,Landkreis,184591,9571,LK ,LK Ansbach
Erlangen-Höchstadt,Landkreis,137262,9572,LK ,LK Erlangen-Höchstadt
Fürth,Landkreis,117853,9573,LK ,LK Fürth
Nürnberger Land,Landkreis,170792,9574,LK ,LK Nürnberger Land
Neustadt a.d. Aisch-Bad Windsheim,Landkreis,101014,9575,LK ,LK Neustadt a.d. Aisch-Bad Windsheim
Roth,Landkreis,126749,9576,LK ,LK Roth
Weißenburg-Gunzenhausen,Landkreis,94734,9577,LK ,LK Weißenburg-Gunzenhausen
Aschaffenburg,Kreisfreie Stadt,71002,9661,SK ,SK Aschaffenburg
Schweinfurt,Kreisfreie Stadt,53426,9662,SK ,SK Schweinfurt
Würzburg,Kreisfreie Stadt,127934,9663,SK ,SK Würzburg
Aschaffenburg,Landkreis,174200,9671,LK ,LK Aschaffenburg
Bad Kissingen,Landkreis,103235,9672,LK ,LK Bad Kissingen
Rhön-Grabfeld,Landkreis,79635,9673,LK ,LK Rhön-Grabfeld
Haßberge,Landkreis,84384,9674,LK ,LK Haßberge
Kitzingen,Landkreis,91155,9675,LK ,LK Kitzingen
Miltenberg,Landkreis,128743,9676,LK ,LK Miltenberg
Main-Spessart,Landkreis,126158,9677,LK ,LK Main-Spessart
Schweinfurt,Landkreis,115445,9678,LK ,LK Schweinfurt
Würzburg,Landkreis,162302,9679,LK ,LK Würzburg
Augsburg,Kreisfreie Stadt,296582,9761,SK ,SK Augsburg
Kaufbeuren,Kreisfreie Stadt,44398,9762,SK ,SK Kaufbeuren
Kempten (Allgäu),Kreisfreie Stadt,69151,9763,SK ,SK Kempten (Allgäu)
Memmingen,Kreisfreie Stadt,44100,9764,SK ,SK Memmingen
Aichach-Friedberg,Landkreis,134655,9771,LK ,LK Aichach-Friedberg
Augsburg,Landkreis,253468,9772,LK ,LK Augsburg
Dillingen a.d. Donau,Landkreis,96562,9773,LK ,LK Dillingen a.d. Donau
Günzburg,Landkreis,127027,9774,LK ,LK Günzburg
Neu-Ulm,Landkreis,175204,9775,LK ,LK Neu-Ulm
Lindau (Bodensee),Landkreis,81981,9776,LK ,LK Lindau (Bodensee)
Ostallgäu,Landkreis,141182,9777,LK ,LK Ostallgäu
Unterallgäu,Landkreis,145341,9778,LK ,LK Unterallgäu
Donau-Ries,Landkreis,133783,9779,LK ,LK Donau-Ries
